Cycle;active_ego;width_ego;length_ego;x_ego;y_ego;vx_ego;vy_ego;ax_ego;ay_ego;w_ego;active_1;width_1;length_1;x_1;y_1;vx_1;vy_1;ax_1;ay_1;w_1;active_2;width_2;length_2;x_2;y_2;vx_2;vy_2;ax_2;ay_2;w_2
72;1;1.899;5.289;10000.85441;-10.5684101;1.985954628;0.039875777;0.585812055;-0.011298978;0.020076199;1;1.885342708;5;9755.034504;-8.736177163;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.81735;-9.694848368;0.709747434;0.016671327;0.999644274;0.023480742;0.02348478
73;1;1.899;5.289;10000.87431;-10.56800514;1.987442983;0.039910794;-0.163355044;0.00352581;0.02007878;1;1.885342708;5;9755.29117;-8.735952667;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.82455;-9.694679307;0.719743877;0.016906134;0.999644274;0.023480742;0.02348478
74;1;1.899;5.289;10000.89421;-10.56760014;1.987982368;0.039926586;0.438188565;-0.008287547;0.020081274;1;1.885342708;5;9755.547837;-8.735728172;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.83185;-9.694507897;0.72974032;0.017140941;0.999644274;0.023480742;0.02348478
75;1;1.899;5.289;10000.91414;-10.56719441;1.992578508;0.040023733;0.394489087;-0.007437161;0.020083701;1;1.885342708;5;9755.804503;-8.735503677;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.83925;-9.69433414;0.739736763;0.017375749;0.999644274;0.023480742;0.02348478
76;1;1.899;5.289;10000.93412;-10.56678772;1.997819673;0.040133744;0.714689174;-0.013768043;0.020086071;1;1.885342708;5;9756.06117;-8.735279182;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.84674;-9.694158034;0.749733205;0.017610556;0.999644274;0.023480742;0.02348478
77;1;1.899;5.289;10000.95415;-10.56637973;2.004324149;0.040269087;0.543155413;-0.010430303;0.020088403;1;1.885342708;5;9756.317836;-8.735054687;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.85434;-9.693979581;0.759729648;0.017845364;0.999644274;0.023480742;0.02348478
78;1;1.899;5.289;10000.97424;-10.56597059;2.009395947;0.040375613;0.550035705;-0.010635952;0.020090705;1;1.885342708;5;9756.574503;-8.734830192;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.86204;-9.693798779;0.769726091;0.018080171;0.999644274;0.023480742;0.02348478
79;1;1.899;5.289;10000.99438;-10.56556033;2.015042395;0.040493681;0.520151603;-0.010131096;0.020092992;1;1.885342708;5;9756.83117;-8.734605697;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.86984;-9.693615629;0.779722534;0.018314978;0.999644274;0.023480742;0.02348478
80;1;1.899;5.289;10001.01457;-10.565149;2.019825095;0.04059441;0.485082042;-0.009542908;0.020095278;1;1.885342708;5;9757.087836;-8.734381201;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.87773;-9.693430131;0.789718976;0.018549786;0.999644274;0.023480742;0.02348478
81;1;1.899;5.289;10001.03481;-10.56473665;2.02512428;0.040705559;0.527980047;-0.010490572;0.020097571;1;1.885342708;5;9757.344503;-8.734156706;25.66665685;0.022449515;0;0;0.00087466;1;2.065267878;7;10040.88573;-9.693242285;0.799715419;0.018784593;0.999644274;0.023480742;0.02348478
